"IPAddress","Status","HostName"
"172.22.136.5","Allocated","03SISP1ODBW001-Nic"
"172.22.136.6","Allocated","03SISP1ODBW001-BNic"
"172.22.136.7","Allocated","03SISP1ODBW002-Nic"
"172.22.136.8","Allocated","03SISP1ODBW002-BNic"
"172.22.136.9","Allocated","03SISP1ODBW003-Nic"
"172.22.136.10","Allocated","03SISP1ODBW003-BNic"
"172.22.136.11","Allocated","03SISP1ODBW004-Nic"
"172.22.136.12","Allocated","03SISP1ODBW004-BNic"
"172.22.136.13","Allocated","03SISP1ODBW005-Nic"
"172.22.136.14","Allocated","03SISP1ODBW005-BNic"
"172.22.136.15","Allocated","03SISP1ODBW006-Nic"
"172.22.136.16","Allocated","03SISP1ODBW006-BNic"
"172.22.136.17","Allocated","03SISP1ODBW007-Nic"
"172.22.136.18","Allocated","03SISP1ODBW007-BNic"
"172.22.136.19","Allocated","03SISP1ODBW008-Nic"
"172.22.136.20","Allocated","03SISP1ODBW008-BNic"
"172.22.136.21","Allocated","03SISP1ODBW009-Nic"
"172.22.136.22","Allocated","03SISP1ODBW009-BNic"
"172.22.136.23","Allocated","03SISP1ODBW010-Nic"
"172.22.136.24","Allocated","03SISP1ODBW010-BNic"
"172.22.136.25","Allocated","03SISP1ODBW011-Nic"
"172.22.136.26","Allocated","03SISP1ODBW011-BNic"
"172.22.136.27","Allocated","03SISP1ODBW012-Nic"
"172.22.136.28","Allocated","03SISP1ODBW012-BNic"
"172.22.136.29","Allocated","03SISP1ODBW013-Nic"
"172.22.136.30","Allocated","03SISP1ODBW013-BNic"
"172.22.136.31","Allocated","03SISP1ODBW014-Nic"
"172.22.136.32","Allocated","03SISP1ODBW014-BNic"
"172.22.136.33","Allocated","03SISP1ODBW015-Nic"
"172.22.136.34","Allocated","03SISP1ODBW015-BNic"
"172.22.136.35","Allocated","03SISP1ODBW016-Nic"
"172.22.136.36","Allocated","03SISP1ODBW016-BNic"
"172.22.136.37","Allocated","03SISP1ODBW017-Nic"
"172.22.136.38","Allocated","03SISP1ODBW017-BNic"
"172.22.136.39","Allocated","03SISP1ODBW018-Nic"
"172.22.136.40","Allocated","03SISP1ODBW018-BNic"
"172.22.136.41","Allocated","03SISP1ODBW019-Nic"
"172.22.136.42","Allocated","03SISP1ODBW019-BNic"
"172.22.136.43","Allocated","03SISP1ODBW020-Nic"
"172.22.136.44","Allocated","03SISP1ODBW020-BNic"
"172.22.136.45","Allocated","03SISP1ODBW021-Nic"
"172.22.136.46","Allocated","03SISP1ODBW021-BNic"
"172.22.136.47","Allocated","03SISP1ODBW022-Nic"
"172.22.136.48","Allocated","03SISP1ODBW022-BNic"
"172.22.136.49","Allocated","03SISP1ODBW023-Nic"
"172.22.136.50","Allocated","03SISP1ODBW023-BNic"
"172.22.136.51","Allocated","03SISP1ODBW024-Nic"
"172.22.136.52","Allocated","03SISP1ODBW024-BNic"
"172.22.136.53","Allocated","03SISP1ODBW025-Nic"
"172.22.136.54","Allocated","03SISP1ODBW025-BNic"
"172.22.136.55","Allocated","03SISP1ODBW026-Nic"
"172.22.136.56","Allocated","03SISP1ODBW026-BNic"
"172.22.136.57","Allocated","03SISP1ODBW027-Nic"
"172.22.136.58","Allocated","03SISP1ODBW027-BNic"
