"IPAddress","Status","HostName"
"172.21.128.4","Allocated","20SISP1STGW001-Nic"
"172.21.128.5","Allocated","20SISP1APPW001-Nic"
"172.21.128.6","Allocated","20SISP1APPW001-BNic"
"172.21.128.7","Allocated","20SISP1APPW002-Nic"
"172.21.128.8","Allocated","20SISP1APPW002-BNic"
"172.21.128.9","Allocated","20SISP1APPW003-Nic"
"172.21.128.10","Allocated","20SISP1APPW003-BNic"
"172.21.128.11","Allocated","20SISP1APPW004-Nic"
"172.21.128.12","Allocated","20SISP1APPW004-BNic"
"172.21.128.13","Allocated","20SISP1APPW005-Nic"
"172.21.128.14","Allocated","20SISP1APPW005-BNic"
"172.21.128.15","Allocated","20SISP1APPW006-Nic"
"172.21.128.16","Allocated","20SISP1APPW006-BNic"
"172.21.128.17","Allocated","20SISP1APPW007-Nic"
"172.21.128.18","Allocated","20SISP1APPW007-BNic"
"172.21.128.19","Allocated","20SISP1APPW008-Nic"
"172.21.128.20","Allocated","20SISP1APPW008-BNic"
"172.21.128.21","Allocated","20SISP1APPW009-Nic"
"172.21.128.22","Allocated","20SISP1APPW009-BNic"
"172.21.128.23","Allocated","20SISP1APPW010-Nic"
"172.21.128.24","Allocated","20SISP1APPW010-BNic"
"172.21.128.25","Allocated","20SISP1APPW011-Nic"
"172.21.128.26","Allocated","20SISP1APPW011-BNic"
"172.21.128.27","Allocated","20SISP1APPW012-Nic"
"172.21.128.28","Allocated","20SISP1APPW012-BNic"
"172.21.128.29","Allocated","20SISP1APPW013-Nic"
"172.21.128.30","Allocated","20SISP1APPW013-BNic"
"172.21.128.31","Allocated","20SISP1APPW014-Nic"
"172.21.128.32","Allocated","20SISP1APPW014-BNic"
"172.21.128.33","Allocated","20SISP1APPW015-Nic"
"172.21.128.34","Allocated","20SISP1APPW015-BNic"
"172.21.128.35","Allocated","20SISP1APPW016-Nic"
"172.21.128.36","Allocated","20SISP1APPW016-BNic"
"172.21.128.37","Allocated","20SISP1APPW017-Nic"
"172.21.128.38","Allocated","20SISP1APPW017-BNic"
"172.21.128.39","Allocated","20SISP1APPW018-Nic"
"172.21.128.40","Allocated","20SISP1APPW018-BNic"
"172.21.128.41","Allocated","20SISP1APPW019-Nic"
"172.21.128.42","Allocated","20SISP1APPW019-BNic"
"172.21.128.43","Allocated","20SISP1APPW020-Nic"
"172.21.128.44","Allocated","20SISP1APPW020-BNic"
"172.21.128.45","Allocated","20SISP1APPW021-Nic"
"172.21.128.46","Allocated","20SISP1APPW021-BNic"
"172.21.128.47","Allocated","20SISP1APPW022-Nic"
"172.21.128.48","Allocated","20SISP1APPW022-BNic"
"172.21.128.49","Allocated","20SISP1APPW023-Nic"
"172.21.128.50","Allocated","20SISP1APPW023-BNic"
"172.21.128.51","Allocated","20SISP1APPW024-Nic"
"172.21.128.52","Allocated","20SISP1APPW024-BNic"
"172.21.128.53","Allocated","20SISP1APPW025-Nic"
"172.21.128.54","Allocated","20SISP1APPW025-BNic"
"172.21.128.55","Allocated","20SISP1APPW026-Nic"
"172.21.128.56","Allocated","20SISP1APPW026-BNic"
"172.21.128.57","Allocated","20SISP1APPW027-Nic"
"172.21.128.58","Allocated","20SISP1APPW027-BNic"
"172.21.128.59","Allocated","20SISP1APPW028-Nic"
"172.21.128.60","Allocated","20SISP1APPW028-BNic"
"172.21.128.61","Allocated","20SISP1APPW029-Nic"
"172.21.128.62","Allocated","20SISP1APPW029-BNic"
"172.21.128.63","Allocated","20SISP1APPW030-Nic"
"172.21.128.64","Allocated","20SISP1APPW030-BNic"
"172.21.128.65","Allocated","20SISP1APPW031-Nic"
