"IPAddress","Status","HostName"
"172.22.160.5","Allocated","04SISP1APPW001-Nic"
"172.22.160.6","Allocated","04SISP1APPW001-BNic"
"172.22.160.7","Allocated","04SISP1APPW002-Nic"
"172.22.160.8","Allocated","04SISP1APPW002-BNic"
"172.22.160.9","Allocated","04SISP1APPW003-Nic"
"172.22.160.10","Allocated","04SISP1APPW003-BNic"
"172.22.160.11","Allocated","04SISP1APPW004-Nic"
"172.22.160.12","Allocated","04SISP1APPW004-BNic"
"172.22.160.13","Allocated","04SISP1APPW005-Nic"
"172.22.160.14","Allocated","04SISP1APPW005-BNic"
"172.22.160.15","Allocated","04SISP1APPW006-Nic"
"172.22.160.16","Allocated","04SISP1APPW006-BNic"
"172.22.160.17","Allocated","04SISP1APPW007-Nic"
"172.22.160.18","Allocated","04SISP1APPW007-BNic"
"172.22.160.19","Allocated","04SISP1APPW008-Nic"
"172.22.160.20","Allocated","04SISP1APPW008-BNic"
"172.22.160.21","Allocated","04SISP1APPW009-Nic"
"172.22.160.22","Allocated","04SISP1APPW009-BNic"
"172.22.160.23","Allocated","04SISP1APPW010-Nic"
"172.22.160.24","Allocated","04SISP1APPW010-BNic"
"172.22.160.25","Allocated","04SISP1APPW011-Nic"
"172.22.160.26","Allocated","04SISP1APPW011-BNic"
"172.22.160.27","Allocated","04SISP1APPW012-Nic"
"172.22.160.28","Allocated","04SISP1APPW012-BNic"
"172.22.160.29","Allocated","04SISP1APPW013-Nic"
"172.22.160.30","Allocated","04SISP1APPW013-BNic"
"172.22.160.31","Allocated","04SISP1APPW014-Nic"
"172.22.160.32","Allocated","04SISP1APPW014-BNic"
"172.22.160.33","Allocated","04SISP1APPW015-Nic"
"172.22.160.34","Allocated","04SISP1APPW015-BNic"
"172.22.160.35","Allocated","04SISP1APPW016-Nic"
"172.22.160.36","Allocated","04SISP1APPW016-BNic"
"172.22.160.37","Allocated","04SISP1APPW017-Nic"
"172.22.160.38","Allocated","04SISP1APPW017-BNic"
"172.22.160.39","Allocated","04SISP1APPW018-Nic"
"172.22.160.40","Allocated","04SISP1APPW018-BNic"
"172.22.160.41","Allocated","04SISP1APPW019-Nic"
"172.22.160.42","Allocated","04SISP1APPW019-BNic"
"172.22.160.43","Allocated","04SISP1APPW020-Nic"
"172.22.160.44","Allocated","04SISP1APPW020-BNic"
"172.22.160.45","Allocated","04SISP1APPW021-Nic"
