"IPAddress","Status","HostName"
"172.21.168.5","Allocated","21SISP1ODBW001-Nic"
"172.21.168.6","Allocated","21SISP1ODBW001-BNic"
"172.21.168.7","Allocated","21SISP1ODBW002-Nic"
"172.21.168.8","Allocated","21SISP1ODBW002-BNic"
"172.21.168.9","Allocated","21SISP1ODBW003-Nic"
"172.21.168.10","Allocated","21SISP1ODBW003-BNic"
"172.21.168.11","Allocated","21SISP1ODBW004-Nic"
"172.21.168.12","Allocated","21SISP1ODBW004-BNic"
"172.21.168.13","Allocated","21SISP1ODBW005-Nic"
"172.21.168.14","Allocated","21SISP1ODBW005-BNic"
"172.21.168.15","Allocated","21SISP1ODBW006-Nic"
"172.21.168.16","Allocated","21SISP1ODBW006-BNic"
"172.21.168.17","Allocated","21SISP1ODBW007-Nic"
"172.21.168.18","Allocated","21SISP1ODBW007-BNic"
"172.21.168.19","Allocated","21SISP1ODBW008-Nic"
"172.21.168.20","Allocated","21SISP1ODBW008-BNic"
"172.21.168.21","Allocated","21SISP1ODBW009-Nic"
"172.21.168.22","Allocated","21SISP1ODBW009-BNic"
"172.21.168.23","Allocated","21SISP1ODBW010-Nic"
"172.21.168.24","Allocated","21SISP1ODBW010-BNic"
"172.21.168.25","Allocated","21SISP1ODBW011-Nic"
"172.21.168.26","Allocated","21SISP1ODBW011-BNic"
"172.21.168.27","Allocated","21SISP1ODBW012-Nic"
"172.21.168.28","Allocated","21SISP1ODBW012-BNic"
"172.21.168.29","Allocated","21SISP1ODBW013-Nic"
"172.21.168.30","Allocated","21SISP1ODBW013-BNic"
"172.21.168.31","Allocated","21SISP1ODBW014-Nic"
"172.21.168.32","Allocated","21SISP1ODBW014-BNic"
"172.21.168.33","Allocated","21SISP1ODBW015-Nic"
"172.21.168.34","Allocated","21SISP1ODBW015-BNic"
"172.21.168.35","Allocated","21SISP1ODBW016-Nic"
"172.21.168.36","Allocated","21SISP1ODBW016-BNic"
"172.21.168.37","Allocated","21SISP1ODBW017-Nic"
"172.21.168.38","Allocated","21SISP1ODBW017-BNic"
"172.21.168.39","Allocated","21SISP1ODBW018-Nic"
"172.21.168.40","Allocated","21SISP1ODBW018-BNic"
"172.21.168.41","Allocated","21SISP1ODBW019-Nic"
"172.21.168.42","Allocated","21SISP1ODBW019-BNic"
"172.21.168.43","Allocated","21SISP1ODBW020-Nic"
"172.21.168.44","Allocated","21SISP1ODBW020-BNic"
"172.21.168.45","Allocated","21SISP1ODBW021-Nic"
"172.21.168.46","Allocated","21SISP1ODBW021-BNic"
"172.21.168.47","Allocated","21SISP1ODBW022-Nic"
"172.21.168.48","Allocated","21SISP1ODBW022-BNic"
"172.21.168.49","Allocated","21SISP1ODBW023-Nic"
"172.21.168.50","Allocated","21SISP1ODBW023-BNic"
"172.21.168.51","Allocated","21SISP1ODBW024-Nic"
"172.21.168.52","Allocated","21SISP1ODBW024-BNic"
"172.21.168.53","Allocated","21SISP1ODBW025-Nic"
"172.21.168.54","Allocated","21SISP1ODBW025-BNic"
"172.21.168.55","Allocated","21SISP1ODBW026-Nic"
"172.21.168.56","Allocated","21SISP1ODBW026-BNic"
"172.21.168.57","Allocated","21SISP1ODBW027-Nic"
"172.21.168.58","Allocated","21SISP1ODBW027-BNic"
"172.21.168.59","Allocated","21SISP1ODBW028-Nic"
"172.21.168.60","Allocated","21SISP1ODBW028-BNic"
"172.21.168.61","Allocated","21SISP1ODBW029-Nic"
"172.21.168.62","Allocated","21SISP1ODBW029-BNic"
"172.21.168.63","Allocated","21SISP1ODBW030-Nic"
"172.21.168.64","Allocated","21SISP1ODBW030-BNic"
"172.21.168.65","Allocated","21SISP1ODBW031-Nic"
"172.21.168.66","Allocated","21SISP1ODBW031-BNic"
"172.21.168.67","Allocated","21SISP1ODBW032-Nic"
"172.21.168.68","Allocated","21SISP1ODBW032-BNic"
"172.21.168.69","Allocated","21SISP1ODBW033-Nic"
"172.21.168.70","Allocated","21SISP1ODBW033-BNic"
"172.21.168.71","Allocated","21SISP1ODBW034-Nic"
"172.21.168.72","Allocated","21SISP1ODBW034-BNic"
"172.21.168.73","Allocated","21SISP1ODBW035-Nic"
"172.21.168.74","Allocated","21SISP1ODBW035-BNic"
"172.21.168.75","Allocated","21SISP1ODBW036-Nic"
"172.21.168.76","Allocated","21SISP1ODBW036-BNic"
"172.21.168.77","Allocated","21SISP1ODBW037-Nic"
"172.21.168.78","Allocated","21SISP1ODBW037-BNic"
"172.21.168.79","Allocated","21SISP1ODBW038-Nic"
"172.21.168.80","Allocated","21SISP1ODBW038-BNic"
"172.21.168.81","Allocated","21SISP1ODBW039-Nic"
"172.21.168.82","Allocated","21SISP1ODBW039-BNic"
"172.21.168.83","Allocated","21SISP1ODBW040-Nic"
"172.21.168.84","Allocated","21SISP1ODBW040-BNic"
"172.21.168.85","Allocated","21SISP1ODBW041-Nic"
"172.21.168.86","Allocated","21SISP1ODBW041-BNic"
"172.21.168.87","Allocated","21SISP1ODBW042-Nic"
"172.21.168.88","Allocated","21SISP1ODBW042-BNic"
"172.21.168.89","Allocated","21SISP1ODBW043-Nic"
"172.21.168.90","Allocated","21SISP1ODBW043-BNic"
"172.21.168.91","Allocated","21SISP1ODBW044-Nic"
"172.21.168.92","Allocated","21SISP1ODBW044-BNic"
"172.21.168.93","Allocated","21SISP1ODBW045-Nic"
"172.21.168.94","Allocated","21SISP1ODBW045-BNic"
"172.21.168.95","Allocated","21SISP1ODBW046-Nic"
"172.21.168.96","Allocated","21SISP1ODBW046-BNic"
"172.21.168.97","Allocated","21SISP1ODBW047-Nic"
"172.21.168.98","Allocated","21SISP1ODBW047-BNic"
"172.21.168.99","Allocated","21SISP1ODBW048-Nic"
"172.21.168.100","Allocated","21SISP1ODBW048-BNic"
"172.21.168.101","Allocated","21SISP1ODBW049-Nic"
"172.21.168.102","Allocated","21SISP1ODBW049-BNic"
"172.21.168.103","Allocated","21SISP1ODBW050-Nic"
"172.21.168.104","Allocated","21SISP1ODBW050-BNic"
"172.21.168.105","Allocated","21SISP1ODBW051-Nic"
"172.21.168.106","Allocated","21SISP1ODBW051-BNic"
"172.21.168.107","Allocated","21SISP1ODBW052-Nic"
"172.21.168.108","Allocated","21SISP1ODBW052-BNic"
"172.21.168.109","Allocated","21SISP1ODBW053-Nic"
"172.21.168.110","Allocated","21SISP1ODBW053-BNic"
"172.21.168.111","Allocated","21SISP1ODBW054-Nic"
"172.21.168.112","Allocated","21SISP1ODBW054-BNic"
"172.21.168.113","Allocated","21SISP1ODBW055-Nic"
"172.21.168.114","Allocated","21SISP1ODBW055-BNic"
"172.21.168.115","Allocated","21SISP1ODBW056-Nic"
"172.21.168.116","Allocated","21SISP1ODBW056-BNic"
"172.21.168.117","Allocated","21SISP1ODBW057-Nic"
"172.21.168.118","Allocated","21SISP1ODBW057-BNic"
"172.21.168.119","Allocated","21SISP1ODBW058-Nic"
"172.21.168.120","Allocated","21SISP1ODBW058-BNic"
"172.21.168.121","Allocated","21SISP1ODBW059-Nic"
"172.21.168.122","Allocated","21SISP1ODBW059-BNic"
"172.21.168.123","Allocated","21SISP1ODBW060-Nic"
"172.21.168.124","Allocated","21SISP1ODBW060-BNic"
"172.21.168.125","Allocated","21SISP1ODBW061-Nic"
"172.21.168.126","Allocated","21SISP1ODBW061-BNic"
"172.21.168.127","Allocated","21SISP1ODBW062-Nic"
"172.21.168.128","Allocated","21SISP1ODBW062-BNic"
"172.21.168.129","Allocated","21SISP1ODBW063-Nic"
"172.21.168.130","Allocated","21SISP1ODBW063-BNic"
"172.21.168.131","Allocated","21SISP1ODBW064-Nic"
"172.21.168.132","Allocated","21SISP1ODBW064-BNic"
"172.21.168.133","Allocated","21SISP1ODBW065-Nic"
"172.21.168.134","Allocated","21SISP1ODBW065-BNic"
"172.21.168.135","Allocated","21SISP1ODBW066-Nic"
"172.21.168.136","Allocated","21SISP1ODBW066-BNic"
"172.21.168.137","Allocated","21SISP1ODBW067-Nic"
"172.21.168.138","Allocated","21SISP1ODBW067-BNic"
"172.21.168.139","Allocated","21SISP1ODBW068-Nic"
"172.21.168.140","Allocated","21SISP1ODBW068-BNic"
"172.21.168.141","Allocated","21SISP1ODBW069-Nic"
"172.21.168.142","Allocated","21SISP1ODBW069-BNic"
"172.21.168.143","Allocated","21SISP1ODBW070-Nic"
"172.21.168.144","Allocated","21SISP1ODBW070-BNic"
"172.21.168.145","Allocated","21SISP1ODBW071-Nic"
"172.21.168.146","Allocated","21SISP1ODBW071-BNic"
