IPAddress,Status,HostName
172.21.96.5,Allocated,02SISP1APPW001-Nic
172.21.96.6,Allocated,02SISP1APPW001-BNic
172.21.96.7,Allocated,02SISP1APPW002-Nic
172.21.96.8,Allocated,02SISP1APPW002-BNic
172.21.96.9,Allocated,02SISP1APPW003-Nic
172.21.96.10,Allocated,02SISP1APPW003-BNic
172.21.96.11,Allocated,02SISP1APPW004-Nic
172.21.96.12,Allocated,02SISP1APPW004-BNic
172.21.96.13,Allocated,02SISP1APPW005-Nic
172.21.96.14,Allocated,02SISP1APPW005-BNic
172.21.96.15,Allocated,02SISP1APPW006-Nic
172.21.96.16,Allocated,02SISP1APPW006-BNic
172.21.96.17,Allocated,02SISP1APPW007-Nic
172.21.96.18,Allocated,02SISP1APPW007-BNic
172.21.96.19,Allocated,02SISP1APPW008-Nic
172.21.96.20,Allocated,02SISP1APPW008-BNic
172.21.96.21,Allocated,02SISP1APPW009-Nic
172.21.96.22,Allocated,02SISP1APPW009-BNic
172.21.96.23,Allocated,02SISP1APPW010-Nic
172.21.96.24,Allocated,02SISP1APPW010-BNic
172.21.96.25,Allocated,02SISP1APPW011-Nic
172.21.96.26,Allocated,02SISP1APPW011-BNic
172.21.96.27,Allocated,02SISP1APPW012-Nic
172.21.96.28,Allocated,02SISP1APPW012-BNic
172.21.96.29,Allocated,02SISP1APPW013-Nic
172.21.96.30,Allocated,02SISP1APPW013-BNic
172.21.96.31,Allocated,02SISP1APPW014-Nic
172.21.96.32,Allocated,02SISP1APPW014-BNic
172.21.96.33,Allocated,02SISP1APPW015-Nic
172.21.96.34,Allocated,02SISP1APPW015-BNic
172.21.96.35,Allocated,02SISP1APPW016-Nic
172.21.96.36,Allocated,02SISP1APPW016-BNic
172.21.96.37,Allocated,02SISP1APPW017-Nic
172.21.96.38,Allocated,02SISP1APPW017-BNic
172.21.96.39,Allocated,02SISP1APPW018-Nic
172.21.96.40,Allocated,02SISP1APPW018-BNic
172.21.96.41,Allocated,02SISP1APPW019-Nic
172.21.96.42,Allocated,02SISP1APPW019-BNic
172.21.96.43,Allocated,02SISP1APPW020-Nic
172.21.96.44,Allocated,02SISP1APPW020-BNic
172.21.96.45,Available,
172.21.96.46,Available,
172.21.96.47,Available,
172.21.96.48,Available,
172.21.96.49,Available,
172.21.96.50,Available,
172.21.96.51,Available,
172.21.96.52,Available,
172.21.96.53,Available,
