"IPAddress","Status","HostName"
"172.21.64.5","Allocated","00SISP1APPW001-NIC"
"172.21.64.6","Allocated","00SISP1APPW001-BNIC"
"172.21.64.7","Allocated","00SISP1APPW002-Nic"
"172.21.64.8","Allocated","00SISP1APPW002-BNic"
"172.21.64.9","Allocated","00SISP1APPW003-Nic"
"172.21.64.10","Allocated","00SISP1APPW003-BNic"
"172.21.64.11","Allocated","00SISP1APPW004-Nic"
"172.21.64.12","Allocated","00SISP1APPW004-BNic"
"172.21.64.13","Allocated","00SISP1APPW005-Nic"
"172.21.64.14","Allocated","00SISP1APPW005-BNic"
"172.21.64.15","Allocated","00SISP1APPW006-Nic"
"172.21.64.16","Allocated","00SISP1APPW006-BNic"
"172.21.64.17","Allocated","00SISP1APPW007-Nic"
"172.21.64.18","Allocated","00SISP1APPW007-BNic"
"172.21.64.19","Allocated","00SISP1APPW008-Nic"
"172.21.64.20","Allocated","00SISP1APPW008-BNic"
"172.21.64.21","Allocated","00SISP1APPW016-Nic"
"172.21.64.22","Allocated","00SISP1APPW016-BNic"
"172.21.64.23","Allocated","00SISP1APPW009-Nic"
"172.21.64.24","Allocated","00SISP1APPW009-BNic"
"172.21.64.25","Allocated","00SISP1APPW010-Nic"
"172.21.64.26","Allocated","00SISP1APPW010-BNic"
"172.21.64.27","Allocated","00SISP1APPW011-Nic"
"172.21.64.28","Allocated","00SISP1APPW011-BNic"
"172.21.64.29","Allocated","00SISP1APPW012-Nic"
"172.21.64.30","Allocated","00SISP1APPW012-BNic"
"172.21.64.31","Allocated","00SISP1APPW013-Nic"
"172.21.64.32","Allocated","00SISP1APPW013-BNic"
"172.21.64.33","Allocated","00SISP1APPW014-Nic"
"172.21.64.34","Allocated","00SISP1APPW014-BNic"
"172.21.64.35","Allocated","00SISP1APPW015-Nic"
"172.21.64.36","Allocated","00SISP1APPW015-BNic"
"172.21.64.37","Allocated","00SISP1APPW017-Nic"
"172.21.64.38","Allocated","00SISP1APPW017-BNic"
"172.21.64.39","Allocated","00SISP1APPW019-Nic"
"172.21.64.40","Allocated","00SISP1APPW019-BNic"
"172.21.64.41","Allocated","00SISP1APPW020-Nic"
"172.21.64.42","Allocated","00SISP1APPW020-BNic"
"172.21.64.43","Allocated","00SISP1APPW021-Nic"
"172.21.64.44","Allocated","00SISP1APPW021-BNic"
"172.21.64.45","Allocated","00SISP1APPW022-Nic"
"172.21.64.46","Allocated","00SISP1APPW022-BNic"
"172.21.64.47","Allocated","00SISP1APPW023-Nic"
"172.21.64.48","Allocated","00SISP1APPW023-BNic"
"172.21.64.49","Allocated","00SISP1APPW024-Nic"
"172.21.64.50","Allocated","00SISP1APPW024-BNic"
"172.21.64.51","Allocated","00SISP1APPW025-Nic"
"172.21.64.52","Allocated","00SISP1APPW025-BNic"
"172.21.64.53","Allocated","00SISP1APPW026-Nic"
"172.21.64.54","Allocated","00SISP1APPW026-BNic"
"172.21.64.55","Allocated","00SISP1APPW027-Nic"
"172.21.64.56","Allocated","00SISP1APPW027-BNic"
"172.21.64.57","Allocated","00SISP1APPW028-Nic"
"172.21.64.58","Allocated","00SISP1APPW028-BNic"
"172.21.64.59","Allocated","00SISP1APPW029-Nic"
"172.21.64.60","Allocated","00SISP1APPW029-BNic"
"172.21.64.61","Allocated","00SISP1APPW018-Nic"
"172.21.64.62","Allocated","00SISP1APPW018-BNic"
"172.21.64.63","Allocated","00SISP1APPW030-Nic"
"172.21.64.64","Allocated","00SISP1APPW030-BNic"
"172.21.64.65","Allocated","00SISP1APPW031-Nic"
"172.21.64.66","Allocated","00SISP1APPW031-BNic"
"172.21.64.67","Allocated","00SISP1APPW032-Nic"
"172.21.64.68","Allocated","00SISP1APPW032-BNic"
"172.21.64.69","Allocated","00SISP1APPW033-Nic"
"172.21.64.70","Allocated","00SISP1APPW033-BNic"
"172.21.64.71","Allocated","00SISP1APPW034-Nic"
"172.21.64.72","Allocated","00SISP1APPW034-BNic"
"172.21.64.73","Allocated","00SISP1APPW035-Nic"
"172.21.64.74","Allocated","00SISP1APPW035-BNic"
"172.21.64.75","Allocated","00SISP1APPW036-Nic"
"172.21.64.76","Allocated","00SISP1APPW036-BNic"
"172.21.64.77","Allocated","00SISP1APPW037-Nic"
"172.21.64.78","Allocated","00SISP1APPW037-BNic"
"172.21.64.79","Allocated","00SISP1APPW038-Nic"
"172.21.64.80","Allocated","00SISP1APPW038-BNic"
"172.21.64.81","Allocated","00SISP1APPW039-Nic"
"172.21.64.82","Allocated","00SISP1APPW039-BNic"
"172.21.64.83","Allocated","00SISP1APPW040-Nic"
"172.21.64.84","Allocated","00SISP1APPW040-BNic"
"172.21.64.85","Allocated","00SISP1APPW041-Nic"
"172.21.64.86","Allocated","00SISP1APPW041-BNic"
"172.21.64.87","Allocated","00SISP1APPW042-Nic"
"172.21.64.88","Allocated","00SISP1APPW042-BNic"
"172.21.64.89","Allocated","00SISP1APPW043-Nic"
"172.21.64.90","Allocated","00SISP1APPW043-BNic"
"172.21.64.91","Allocated","00SISP1APPW044-Nic"
"172.21.64.92","Allocated","00SISP1APPW044-BNic"
"172.21.64.93","Allocated","00SISP1APPW045-Nic"
"172.21.64.94","Allocated","00SISP1APPW045-BNic"
"172.21.64.95","Allocated","00SISP1APPW046-Nic"
"172.21.64.96","Allocated","00SISP1APPW046-BNic"
"172.21.64.97","Allocated","00SISP1APPW047-Nic"
"172.21.64.98","Allocated","00SISP1APPW047-BNic"
"172.21.64.99","Allocated","00SISP1APPW048-Nic"
"172.21.64.100","Allocated","00SISP1APPW048-BNic"
"172.21.64.101","Allocated","00SISP1APPW049-Nic"
"172.21.64.102","Allocated","00SISP1APPW049-BNic"
"172.21.64.103","Allocated","00SISP1APPW050-Nic"
"172.21.64.104","Allocated","00SISP1APPW050-BNic"
"172.21.64.105","Allocated","00SISP1APPW051-Nic"
"172.21.64.106","Allocated","00SISP1APPW051-BNic"
"172.21.64.107","Allocated","00SISP1APPW052-Nic"
"172.21.64.108","Allocated","00SISP1APPW052-BNic"
"172.21.64.109","Allocated","00SISP1APPW053-Nic"
"172.21.64.110","Allocated","00SISP1APPW053-BNic"
"172.21.64.111","Allocated","00SISP1APPW054-Nic"
"172.21.64.112","Allocated","00SISP1APPW054-BNic"
"172.21.64.113","Allocated","00SISP1APPW055-Nic"
"172.21.64.114","Allocated","00SISP1APPW055-BNic"
"172.21.64.115","Allocated","00SISP1APPW056-Nic"
"172.21.64.116","Allocated","00SISP1APPW056-BNic"
"172.21.64.117","Allocated","00SISP1APPW057-Nic"
"172.21.64.118","Allocated","00SISP1APPW057-BNic"
"172.21.64.119","Allocated","00SISP1APPW058-Nic"
"172.21.64.120","Allocated","00SISP1APPW058-BNic"
"172.21.64.121","Allocated","00SISP1APPW059-Nic"
"172.21.64.122","Allocated","00SISP1APPW059-BNic"
"172.21.64.123","Allocated","00SISP1APPW060-Nic"
"172.21.64.124","Allocated","00SISP1APPW060-BNic"
"172.21.64.125","Available",""
"172.21.64.126","Available",""
"172.21.64.127","Available",""
"172.21.64.128","Available",""
"172.21.64.129","Available",""
"172.21.64.130","Available",""
"172.21.64.131","Available",""
"172.21.64.132","Available",""
"172.21.64.133","Available",""
"172.21.64.134","Available",""
"172.21.64.135","Available",""
"172.21.64.136","Available",""
"172.21.64.137","Available",""
"172.21.64.138","Available",""
"172.21.64.139","Available",""
"172.21.64.140","Available",""
"172.21.64.141","Available",""
"172.21.64.142","Available",""
"172.21.64.143","Available",""
"172.21.64.144","Available",""
"172.21.64.145","Available",""
"172.21.64.146","Available",""
"172.21.64.147","Available",""
"172.21.64.148","Available",""
"172.21.64.149","Available",""
"172.21.64.150","Available",""
"172.21.64.151","Available",""
"172.21.64.152","Available",""
"172.21.64.153","Available",""
"172.21.64.154","Available",""
"172.21.64.155","Available",""
"172.21.64.156","Available",""
"172.21.64.157","Available",""
"172.21.64.158","Available",""
"172.21.64.159","Available",""
"172.21.64.160","Available",""
"172.21.64.161","Available",""
"172.21.64.162","Available",""
"172.21.64.163","Available",""
"172.21.64.164","Available",""
"172.21.64.165","Available",""
"172.21.64.166","Available",""
"172.21.64.167","Available",""
"172.21.64.168","Available",""
"172.21.64.169","Available",""
"172.21.64.170","Available",""
"172.21.64.171","Available",""
"172.21.64.172","Available",""
"172.21.64.173","Available",""
"172.21.64.174","Available",""
"172.21.64.175","Available",""
"172.21.64.176","Available",""
"172.21.64.177","Available",""
"172.21.64.178","Available",""
"172.21.64.179","Available",""
"172.21.64.180","Available",""
"172.21.64.181","Available",""
"172.21.64.182","Available",""
"172.21.64.183","Available",""
"172.21.64.184","Available",""
"172.21.64.185","Available",""
"172.21.64.186","Available",""
"172.21.64.187","Available",""
"172.21.64.188","Available",""
"172.21.64.189","Available",""
"172.21.64.190","Available",""
"172.21.64.191","Available",""
"172.21.64.192","Available",""
"172.21.64.193","Available",""
"172.21.64.194","Available",""
"172.21.64.195","Available",""
"172.21.64.196","Available",""
"172.21.64.197","Available",""
"172.21.64.198","Available",""
"172.21.64.199","Available",""
"172.21.64.200","Available",""
"172.21.64.201","Available",""
"172.21.64.202","Available",""
"172.21.64.203","Available",""
"172.21.64.204","Available",""
"172.21.64.205","Available",""
"172.21.64.206","Available",""
