"IPAddress","Status","HostName"
"172.21.128.5","Allocated","20SISP1APPW001-Nic"
"172.21.128.6","Allocated","20SISP1APPW001-BNic"
"172.21.128.7","Available",""
"172.21.128.8","Available",""
"172.21.128.9","Available",""
"172.21.128.10","Available",""
"172.21.128.11","Available",""
"172.21.128.12","Available",""
"172.21.128.13","Available",""
"172.21.128.14","Available",""
"172.21.128.15","Available",""
"172.21.128.16","Available",""
"172.21.128.17","Available",""
"172.21.128.18","Available",""
"172.21.128.19","Available",""
"172.21.128.20","Available",""
"172.21.128.21","Available",""
"172.21.128.22","Available",""
"172.21.128.23","Available",""
"172.21.128.24","Available",""
"172.21.128.25","Available",""
"172.21.128.26","Available",""
"172.21.128.27","Available",""
"172.21.128.28","Available",""
"172.21.128.29","Available",""
"172.21.128.30","Available",""
"172.21.128.31","Available",""
"172.21.128.32","Available",""
"172.21.128.33","Available",""
"172.21.128.34","Available",""
"172.21.128.35","Available",""
"172.21.128.36","Available",""
"172.21.128.37","Available",""
"172.21.128.38","Available",""
"172.21.128.39","Available",""
"172.21.128.40","Available",""
"172.21.128.41","Available",""
"172.21.128.42","Available",""
"172.21.128.43","Available",""
"172.21.128.44","Available",""
"172.21.128.45","Available",""
"172.21.128.46","Available",""
"172.21.128.47","Available",""
"172.21.128.48","Available",""
"172.21.128.49","Available",""
"172.21.128.50","Available",""
"172.21.128.51","Available",""
"172.21.128.52","Available",""
"172.21.128.53","Available",""
"172.21.128.54","Available",""
"172.21.128.55","Available",""
"172.21.128.56","Available",""
"172.21.128.57","Available",""
"172.21.128.58","Available",""
"172.21.128.59","Available",""
"172.21.128.60","Available",""
"172.21.128.61","Available",""
"172.21.128.62","Available",""
"172.21.128.63","Available",""
"172.21.128.64","Available",""
"172.21.128.65","Available",""
"172.21.128.66","Available",""
"172.21.128.67","Available",""
"172.21.128.68","Available",""
"172.21.128.69","Available",""
"172.21.128.70","Available",""
"172.21.128.71","Available",""
"172.21.128.72","Available",""
"172.21.128.73","Available",""
"172.21.128.74","Available",""
"172.21.128.75","Available",""
"172.21.128.76","Available",""
"172.21.128.77","Available",""
"172.21.128.78","Available",""
"172.21.128.79","Available",""
"172.21.128.80","Available",""
"172.21.128.81","Available",""
"172.21.128.82","Available",""
"172.21.128.83","Available",""
"172.21.128.84","Available",""
"172.21.128.85","Available",""
"172.21.128.86","Available",""
"172.21.128.87","Available",""
"172.21.128.88","Available",""
"172.21.128.89","Available",""
"172.21.128.90","Available",""
"172.21.128.91","Available",""
"172.21.128.92","Available",""
"172.21.128.93","Available",""
"172.21.128.94","Available",""
"172.21.128.95","Available",""
"172.21.128.96","Available",""
"172.21.128.97","Available",""
"172.21.128.98","Available",""
"172.21.128.99","Available",""
"172.21.128.100","Available",""
"172.21.128.101","Available",""
"172.21.128.102","Available",""
"172.21.128.103","Available",""
"172.21.128.104","Available",""
"172.21.128.105","Available",""
"172.21.128.106","Available",""
"172.21.128.107","Available",""
"172.21.128.108","Available",""
